0.00[kg]
tempo[s]	x[m]	z[m]	vx[m/s]	vz[m/s]	atitude[graus]	fuel[kg]
1.00e-01	-1.70e+37	-2.43e-02	-1.70e+38	-1.62e-01	1.91e-36	-1.70e+38
2.00e-01	-3.40e+37	-6.49e-02	-1.70e+38	-3.24e-01	1.91e-36	-1.70e+38
3.00e-01	-5.10e+37	-1.22e-01	-1.70e+38	-4.87e-01	1.91e-36	-1.70e+38
4.00e-01	-6.81e+37	-1.95e-01	-1.70e+38	-6.49e-01	1.91e-36	-1.70e+38
5.00e-01	-8.51e+37	-2.84e-01	-1.70e+38	-8.11e-01	1.91e-36	-1.70e+38
6.00e-01	-1.02e+38	-3.89e-01	-1.70e+38	-9.73e-01	1.91e-36	-1.70e+38
7.00e-01	-1.19e+38	-5.11e-01	-1.70e+38	-1.14e+00	1.91e-36	-1.70e+38
8.00e-01	-1.36e+38	-6.49e-01	-1.70e+38	-1.30e+00	1.91e-36	-1.70e+38
9.00e-01	-1.53e+38	-8.03e-01	-1.70e+38	-1.46e+00	1.91e-36	-1.70e+38
1.00e+00	-1.70e+38	-9.73e-01	-1.70e+38	-1.62e+00	1.91e-36	-1.70e+38
1.10e+00	-1.87e+38	-1.16e+00	-1.70e+38	-1.78e+00	1.91e-36	-1.70e+38
1.20e+00	-2.04e+38	-1.36e+00	-1.70e+38	-1.95e+00	1.91e-36	-1.70e+38
1.30e+00	-2.21e+38	-1.58e+00	-1.70e+38	-2.11e+00	1.91e-36	-1.70e+38
1.40e+00	-2.38e+38	-1.82e+00	-1.70e+38	-2.27e+00	1.91e-36	-1.70e+38
1.50e+00	-2.55e+38	-2.07e+00	-1.70e+38	-2.43e+00	1.91e-36	-1.70e+38
1.60e+00	-2.72e+38	-2.34e+00	-1.70e+38	-2.60e+00	1.91e-36	-1.70e+38
1.70e+00	-2.89e+38	-2.62e+00	-1.70e+38	-2.76e+00	1.91e-36	-1.70e+38
1.80e+00	-3.06e+38	-2.92e+00	-1.70e+38	-2.92e+00	1.91e-36	-1.70e+38
1.90e+00	-3.23e+38	-3.24e+00	-1.70e+38	-3.08e+00	1.91e-36	-1.70e+38
2.00e+00	-3.40e+38	-3.57e+00	-1.70e+38	-3.24e+00	1.91e-36	-1.70e+38
2.10e+00	-inf	-3.92e+00	-1.70e+38	-3.41e+00	1.91e-36	-1.70e+38
2.20e+00	-inf	-4.28e+00	-1.70e+38	-3.57e+00	1.91e-36	-1.70e+38
